Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.33,4.352772637883371e-40 AU6,5429,3.7,4.3,1407.6,4222.6,0.0007727502256148896 AU5 km,9.1842526138288e-08 AU4,2.08481164180389e-05 AU3,0.002587149695049084 AU2,0.2410958904109589 d2 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87,1.0798516091194982e-39 AU6,5243,8.9,10.4,-5832.5,2802.0,0.0014440686426862013 AU5 km,2.146319904318687e-07 AU4,3.2526645815536336e-05 AU3,0.004834708065704851 AU2,0.6156164383561643 d2 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.97,1.1380194254732583e-39 AU6,5514,9.8,11.2,23.9,24.0,0.0019966050734367435 AU5 km,2.9369642597700363e-07 AU4,4.542977803988132e-05 AU3,0.006684587122268445 AU2,1.0005479452054795 d2 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,0.073,3.1002018685477988e-40 AU6,3340,1.6,2.4,655.7,708.7,5.1249755895702526e-06 AU5 km,7.247573258304032e-10 AU4,1.2126554821953858e-07 AU3,1.7180640030161877e-05 AU2,0.0747945205479452 d2 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,0.642,6.059444918324218e-40 AU6,3934,3.7,5.0,24.6,24.7,0.0030429542563073365 AU5 km,4.1269239462574196e-07 AU4,7.446182554465755e-05 AU3,0.010187739731799502 AU2,1.8821917808219177 d2 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1898.0,1.2756237812156506e-38 AU6,1326,23.1,59.5,9.9,9.9,0.010390087230417814 AU5 km,1.4786646708264372e-06 AU4,0.000243845304350816 AU3,0.0347857692158154 AU2,11.865753424657534 d2 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,568.0,1.0753552012295755e-38 AU6,687,9.0,35.5,10.7,10.7,0.01911188813610573 AU5 km,2.710552467072604e-06 AU4,0.0004499668679624012 AU3,0.06398838896019068 AU2,29.443835616438356 d2 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,86.8,4.560463859465509e-39 AU6,1270,8.7,21.3,-17.2,17.2,0.038263815144004974 AU5 km,5.4560450256108625e-06 AU4,0.0008964690059756724 AU3,0.12810859297392876 AU2,83.8054794520548 d2 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,102.0,4.4186128962715215e-39 AU6,1638,11.0,23.5,16.1,16.1,0.06025850204924398 AU5 km,8.926893882976076e-06 AU4,0.0013616687383695922 AU3,0.2017440565310296 AU2,163.83561643835617 d2 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,0.013,2.119735148106351e-40 AU6,1850,0.7,1.3,-153.3,153.3,0.07882853078707742 AU5 km,8.858411303703395e-06 AU4,0.002203060485498755 AU3,0.2639138445829561 AU2,248.1095890410959 d2 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
